"X","isbn","title","series_title","series_release_number","authors","publisher","language","description","num_pages","format","publication_date","rating_score","num_ratings","num_reviews","current_readers","want_to_read","price","url","main_genre","year"
1072,"9780345460691","Time Bomb ","Alex Delaware","5","Jonathan Kellerman","Ballantine","English","Edgar Award winner Jonathan Kellerman once more explores the corruption of California and produces a novel of complex characterizations and nonstop suspense.
Psychologist Dr. Alex Delaware was called. Unfortunately, by the time he reached the school, the damage was done. A sniper had opened fire on a crowded playground, but was gunned down before any children were hurt. 
""Though a time bomb is ticking away at the heart of this novel, readers will forget to watch the clock once they begin it."" 'Chicago Sun Times.' 
While the TV news crews feasted on the scene, Alex began his therapy sessions with the traumatized children. But he couldn't escape the image of a slight teenager clutching an oversized rifle. What was behind the name and face? A would-be assassin, or just another victim beneath an indifferent California sky? 
Intrigued by a request from the sniper's father to conduct a ""psychological autopsy"" of his child, Alex begins to uncover a strange pattern of innocence, neglect, and loss. Then suddenly it is more than a pattern, it is a trail of blood. In the dead sniper's past was a dark and vicious plot. And in Alex Delaware's future is the stuff of grown-up nightmares: the face of real human evil.",496,"Paperback","1990-01-01",3.99,16857,369,NA,4246,5.99,"https://www.goodreads.com/book/show/185908.Time_Bomb","Mystery/Thriller",1990
1080,"9780671666408","Surrender the Pink","","","Carrie Fisher","Simon & Schuster","English","A study of metropolitan mating manners by the author of ""Postcards from the Edge"". Dinah Kaufman is attracted to unsuitable men, including her ex-husband, a successful playwright with whom she continues to be obsessed. And she has a tendency to merge real life and the soap opera scripts she writes.",288,"Hardcover","1990-01-01",3.47,2191,195,43,4604,NA,"https://www.goodreads.com/book/show/629170.Surrender_the_Pink","Other",1990
1087,"9780060921149","Animal Dreams","","","Barbara Kingsolver","Harper Perennial","English","""Animals dream about the things they do in the day time just like people do. If you want sweet dreams, you've got to live a sweet life."" So says Loyd Peregrina, a handsome Apache trainman and latter-day philosopher. But when Codi Noline returns to her hometown, Loyd's advice is painfully out of her reach. Dreamless and at the end of her rope, Codi comes back to Grace, Arizona to confront her past and face her ailing, distant father. What she finds is a town threatened by a silent environmental catastrophe, some startling clues to her own identity, and a man whose view of the world could change the course of her life. Blending flashbacks, dreams, and Native American legends, 
Animal Dreams
 is a suspenseful love story and a moving exploration of life's largest commitments. With this work, the acclaimed author of 
The Bean Trees
 and 
Homeland and Other Stories
 sustains her familiar voice while giving readers her most remarkable book yet.",342,"Paperback","1990-09-01",4.07,72363,2913,1719,25900,NA,"https://www.goodreads.com/book/show/77262.Animal_Dreams","Other",1990
1108,"","Wild Swans: Three Daughters of China","","","Jung Chang","Simon & Schuster","English","The story of three generations in twentieth-century China that blends the intimacy of memoir and the panoramic sweep of eyewitness history—a bestselling classic in thirty languages with more than ten million copies sold around the world, now with a new introduction from the author.
An engrossing record of Mao’s impact on China, an unusual window on the female experience in the modern world, and an inspiring tale of courage and love, Jung Chang describes the extraordinary lives and experiences of her family members: her grandmother, a warlord’s concubine; her mother’s struggles as a young idealistic Communist; and her parents’ experience as members of the Communist elite and their ordeal during the Cultural Revolution. Chang was a Red Guard briefly at the age of fourteen, then worked as a peasant, a “barefoot doctor,” a steelworker, and an electrician. As the story of each generation unfolds, Chang captures in gripping, moving—and ultimately uplifting—detail the cycles of violent drama visited on her own family and millions of others caught in the whirlwind of history.",562,"Paperback","1991-01-01",4.28,112245,7201,6178,119000,16.99,"https://www.goodreads.com/book/show/1848.Wild_Swans","Nonfiction",1991
1109,"9780061020612","Witches Abroad ","Discworld, Witches","12,3","Terry Pratchett","Harper","English","Be careful what you wish for...
Once upon a time there was a fairy godmother named Desiderata who had a good heart, a wise head, and poor planning skills—which unfortunately left the Princess Emberella in the care of her 
other
 (not quite so good and wise) godmother when DEATH came for Desiderata. So now it's up to Magrat Garlick, Granny Weatherwax, and Nanny Ogg to hop on broomsticks and make for far-distant Genua to ensure the servant girl 
doesn't
 marry the Prince.
But the road to Genua is bumpy, and along the way the trio of witches encounters the occasional vampire, werewolf, and falling house (well this is a 
fairy tale
, after all). The trouble really begins once these reluctant foster-godmothers arrive in Genua and must outwit their power-hungry counterpart who'll stop at nothing to achieve a proper ""happy ending""—even if it means destroying a kingdom.",374,"Mass Market Paperback","1991-01-01",4.25,88373,2991,1718,26700,8.49,"https://www.goodreads.com/book/show/2442.Witches_Abroad","Fantasy",1991
1114,"9780425184226","The Sum of All Fears ","Jack Ryan","6","Tom Clancy","Berkley","","How do you save the United States President from himself? What if the President is incompetent to deal with the greatest crisis of all? Jack Ryan never thought he would have to ask those questions as, the world order changing, he prepares the ground for the Middle Eastern peace plan that, at last, might be the one to work.
But too many groups have invested too much blood. Shunned by their erstwhile Soviet sponsors, increasingly isolated by the realignment of the Mideast, these terrorists have one more desperate card to play, requiring a degree of ruthlessness never before seen. With one terrible act, the world is plunged into an instant nuclear crisis -- and the floundering President is plunged into the ultimate nightmare. Forces collide. Shots are exchanged. What had seemed to be an isolated and horrible incident appears to each side as the incendiary mischief of the other. With the world poised on the brink of nuclear war, Ryan and his FBI counterpart, Dan Murray, frantically seek a solution before the chiefs of state lose control of themselves -- and the world.",914,"Mass Market Paperback","1991-08-14",4.06,62261,941,NA,13600,9.99,"https://www.goodreads.com/book/show/34993.The_Sum_of_All_Fears","Other",1991
1130,"9780060512187","The Beauty Myth","","","Naomi Wolf","Harper Perennial","English","The bestselling classic that redefined our view of the relationship between beauty and female identity. In today's world, women have more power, legal recognition, and professional success than ever before. Alongside the evident progress of the women's movement, however, writer and journalist Naomi Wolf is troubled by a different kind of social control, which, she argues, may prove just as restrictive as the traditional image of homemaker and wife. It's the beauty myth, an obsession with physical perfection that traps the modern woman in an endless spiral of hope, self-consciousness, and self-hatred as she tries to fulfill society's impossible definition of ""the flawless beauty.""",368,"Paperback","1990-01-01",3.91,28452,2005,3970,79300,13.99,"https://www.goodreads.com/book/show/39926.The_Beauty_Myth","Other",1990
1134,"9780140175301","Wise Children","","","Angela Carter","Penguin","English","Dora and Nora Chance are a famous song-and-dance team of the British music halls. Billed as The Lucky Chances, the sisters are the illegitimate and unacknowledged daughters of Sir Melchior Hazard, the greatest Shakespearean actor of his day. At once ribald and sentimental, glittery and tender, this rambunctious family saga is Angela Carter at her bewitching best.",240,"Paperback","1991-06-13",3.91,8869,784,252,11800,8.34,"https://www.goodreads.com/book/show/721867.Wise_Children","Other",1991
1146,"9780449001172","Wartime Lies","","","Louis Begley","Ballantine","English","As the world slips into the throes of war in 1939, young Maciek's once closeted existence outside Warsaw is no more. When Warsaw falls, Maciek escapes with his aunt Tania. Together they endure the war, running, hiding, changing their names, forging documents to secure their temporary lives — as the insistent drum of the Nazi march moves ever closer to them and to their secret wartime lies.",240,"Paperback","1991-01-01",3.73,1005,95,198,1920,10.99,"https://www.goodreads.com/book/show/45378.Wartime_Lies","Other",1991
1153,"9780394588322","Harlot's Ghost","","","Norman Mailer","Random House","English","With unprecedented scope and consummate skill, Norman Mailer unfolds a rich and riveting epic of an American spy. Harry Hubbard is the son and godson of CIA legends. His journey to learn the secrets of his society—and his own past—takes him through the Bay of Pigs, the Cuban Missile Crisis, and the “momentous catastrophe” of the Kennedy assassination. All the while, Hubbard is haunted by women who were loved by both his godfather and President Kennedy. Featuring a tapestry of unforgettable characters both real and imagined, 
is a panoramic achievement in the tradition of Tolstoy, Melville, and Balzac, a triumph of Mailer’s literary prowess.
  
Praise for 
Harlot’s Ghost
 
 “[Norman Mailer is] the right man to exalt the history of the CIA into something better than history.”
—Anthony Burgess, 
The Washington Post Book World
  
 “Elegantly written and filled with almost electric tension . . . When I returned from the world of 
Harlot’s Ghost 
to the present I wished to be enveloped again by Mailer’s imagination.”
—Robert Wilson, 
USA Today
 
 “Immense, fascinating, and in large part brilliant.”
—Salman Rushdie, 
The Independent on Sunday
  
 “A towering creation . . . a fiction as real and as possible as actual history.”
—
The New York Times


 


Praise for Norman Mailer
 
 “[Norman Mailer] loomed over American letters longer and larger than any other writer of his generation.”
—
The New York Times
  
 “A writer of the greatest and most reckless talent.”
—
The New Yorker
  
 “Mailer is indispensable, an American treasure.”
—
The Washington Post
  
 “A devastatingly alive and original creative mind.”
—
Life
  
 “Mailer is fierce, courageous, and reckless and nearly everything he writes has sections of headlong brilliance.”
—
The New York Review of Books
  
 “The largest mind and imagination [in modern] American literature . . . Unlike just about every American writer since Henry James, Mailer has managed to grow and become richer in wisdom with each new book.”
—
Chicago Tribune
  
 “Mailer is a master of his craft. His language carries you through the story like a leaf on a stream.”
—
The Cincinnati Post",1310,"Hardcover","1991-10-02",3.87,2370,245,501,3378,9.99,"https://www.goodreads.com/book/show/1080788.Harlot_s_Ghost","Other",1991
1170,"9780060244057","If You Give a Moose a Muffin","","","Laura Numeroff","HarperCollins","English","If a big hungry moose comes to visit, you might give him a muffin to make him feel at home. If you give him a muffin, he'll want some jam to go with it. When he's eaten all your muffins, he'll want to go to the store to get some more muffin mix,
In this hilarious sequel to 
'If You Give a Mouse a Cookie' (1985)
,
 the young host is again run ragged by a surprise guest. Young readers will delight in the comic complications that follow when a little boy entertains a gregarious moose.
This book is a great introduction to the 
'If You Give...' Series
,
 and also a perennial favorite among children. With its spare, rhythmic text and circular tale, 


'If You Give a Moose a Muffin' (1991)


 is perfect for beginning readers and story time. Sure to inspire giggles and requests to 
""read it again!"".
Here comes another classic from the #1 bestselling team and authors of one of the most beloved children’s books of all time, 


Laura Numeroff


 and 
Felicia Bond
.
 
Age: 4-8+
Edition MSRP: USA $16⁹⁹ / $21⁰⁰ CAN
 (ISBN 978-0-06-024405-7)
Manufactured in China",32,"Hardcover","1991-09-30",4.2,62457,1197,101,7284,15.99,"https://www.goodreads.com/book/show/826584.If_You_Give_a_Moose_a_Muffin","Children/Young Adult",1991
1173,"9780425166130","The Raphael Affair ","Jonathan Argyll","1","Iain Pears","Penguin","English","English art scholar Jonathan Argyll was amazed to find himself arrested for vagrancy-while searching for a long-lost Raphael in a tiny Roman church. Although General Bottando of the Italian National Art Theft Squad has little confidence in Jonathan's theories, Bottando's lovely assistant, Flavia di Stefano, is intrigued by the idea of a lost classic, and by Jonathan himself. But in the midst of the painting's discovery and the resultant worldwide publicity, a new chain of events is set into action. First vandalism, then murder, surround the painting. And as new facts about its true nature emerge, Bottando sends Flavia and Jonathan to investigate--little knowing that the pair will be on the run for the truth... and for their very lives.",226,"Mass Market Paperback","1990-01-01",3.53,3670,315,50,2899,NA,"https://www.goodreads.com/book/show/875109.The_Raphael_Affair","Mystery/Thriller",1990
1188,"9780060845506","The Third Chimpanzee: The Evolution and Future of the Human Animal","","","Jared Diamond","Harper Perennial","English","At some point during the last 100,000 years, humans began exhibiting traits and behavior that distinguished us from other animals, eventually creating language, art, religion, bicycles, spacecraft, and nuclear weapons—all within a heartbeat of evolutionary time. Now, faced with the threat of nuclear weapons and the effects of climate change, it seems our innate tendencies for violence and invention have led us to a crucial fork in our road. Where did these traits come from? Are they part of our species immutable destiny? Or is there hope for our species’ future if we change? 
 With fascinating facts and his unparalleled readability, Diamond intended his book to improve the world that today’s young people will inherit. Triangle Square’s 
 is a book for future generation and the future they’ll help build.",407,"Paperback","1991-05-02",4.08,26989,1005,918,39600,5.99,"https://www.goodreads.com/book/show/49234.The_Third_Chimpanzee","Nonfiction",1991
1208,"9780446612739","The Black Echo ","Harry Bosch, Harry Bosch Universe","1,1","Michael Connelly","Grand Central","English","For maverick LAPD homicide detective Harry Bosch, the body in the drainpipe at Mulholland Dam is more than another anonymous statistic. This one is personal...because the murdered man was a fellow Vietnam ""tunnel rat"" who had fought side by side with him in a hellish underground war. Now Bosch is about to relive the horror of Nam. From a dangerous maze of blind alleys to a daring criminal heist beneath the city, his survival instincts will once again be tested to their limit. Pitted against enemies inside his own department and forced to make the agonizing choice between justice and vengeance, Bosch goes on the hunt for a killer whose true face will shock him.",482,"Paperback","1992-01-21",4.13,196448,5981,12400,93400,9.99,"https://www.goodreads.com/book/show/32508.The_Black_Echo","Mystery/Thriller",1992
1220,"9780345419637","The Tale of the Body Thief ","The Vampire Chronicles","4","Anne Rice","Ballantine","English","In a gripping feat of storytelling, Anne Rice continues the extraordinary Vampire Chronicles that began with the now-classic 
. For centuries, Lestat—vampire-hero, enchanter, seducer of mortals—has been a courted prince in the dark and flourishing universe of the living dead. Now he is alone. And in his overwhelming need to destroy his doubts and his loneliness, Lestat embarks on the most dangerous enterprise he has undertaken in all the years of his haunted existence.
 
Praise for 
The Tale of the Body Thief
 
 “Tinged with mystery, full of drama . . . The story is involving, the twists surprising.”
—
People
  
 “Rice is our modern messenger of the occult, whose nicely updated dark-side passion plays twist and turn in true Gothic form.”
—
San Francisco Chronicle
 
 “Fast-paced . . . . mesmerizing . . . silkenly sensuous . . . No one writing today matches her deftness with the erotic.”
—
The Atlanta Journal-Constitution
 
 “Hypnotic . . . masterful.”
—
Cosmopolitan
From the Paperback edition.",464,"Paperback","1992-10-04",3.75,86707,1794,1006,28000,8.99,"https://www.goodreads.com/book/show/31336.The_Tale_of_the_Body_Thief","Other",1992
1225,"9780679824114","Dinosaurs Before Dark ","Magic Tree House","1","Mary Pope Osborne","Random House","English","Jack and Annie's very first fantasy adventure in the bestselling middle-grade series—the Magic Tree House!
Where did the tree house come from?
Before Jack and Annie can find out, the mysterious tree house whisks them to the prehistoric past. Now they have to figure out how to get home. Can they do it before dark . . . or will they become a dinosaur's dinner?",68,"Paperback","1992-07-28",3.97,42161,3490,2014,15500,5.99,"https://www.goodreads.com/book/show/824734.Dinosaurs_Before_Dark","Fantasy",1992
1229,"9780345391780","The Princes in the Tower","","","Alison Weir","Ballantine","English","Despite five centuries of investigation by historians, the sinister deaths of the boy king Edward V and his younger brother Richard, Duke of York, remain two of the most fascinating murder mysteries in English history. Did Richard III really kill “the Princes in the Tower,” as is commonly believed, or was the murderer someone else entirely? 
Carefully examining every shred of contemporary evidence as well as dozens of modern accounts, Alison Weir reconstructs the entire chain of events leading to the double murder. We are witnesses to the rivalry, ambition, intrigue, and struggle for power that culminated in the imprisonment of the princes and the hushed-up murders that secured Richard’s claim to the throne as Richard III. 
A masterpiece of historical research and a riveting story of conspiracy and deception, 
 at last provides a solution to this age-old puzzle.
Look for special features inside.
Join the Circle for author chats and more.
RandomHouseReadersCircle.com",287,"Paperback","1992-01-01",3.87,7332,519,384,10300,5.99,"https://www.goodreads.com/book/show/111221.The_Princes_in_the_Tower","Nonfiction",1992
1232,"9780446364492","The Bridges of Madison County","","","Robert James Waller","Grand Central","English","The story of Robert Kincaid, the photographer and free spirit searching for the covered bridges of Madison County, and Francesca Johnson, the farm wife waiting for the fulfillment of a girlhood dream, THE BRIDGES OF MADISON COUNTY gives voice to the longings of men and women everywhere-and shows us what it is to love and be loved so intensely that life is never the same again.",224,"Mass Market Paperback","1992-04-13",3.68,96241,6074,1254,26900,7.99,"https://www.goodreads.com/book/show/83674.The_Bridges_of_Madison_County","Other",1992
1251,"9780425133019","A Cold Day for Murder ","Kate Shugak","1","Dana Stabenow","Berkley","English","Eighteen months ago, Aleut Kate Shugak quit her job investigating sex crimes for the Anchorage DA's office and retreated to her father's homestead in a national park in the interior of Alaska. But the world has a way of beating a path to her door, however remote. In the middle of one of the bitterest Decembers in recent memory ex-boss - and ex-lover - Jack Morgan shows up with an FBI agent in tow. A Park ranger with powerful relatives is missing, and now the investigator Jack sent in to look for him is missing, too.
Reluctantly, Kate, along with Mutt, her half-wolf, half-husky sidekick, leaves her wilderness refuge to follow a frozen trail through the Park, twenty thousand square miles of mountain and tundra sparsely populated with hunters, fishermen, trappers, mushers, pilots and homesteaders. Her formidable grandmother and Native chief, Ekaterina Shugak, is - for reasons of her own - against Kate's investigation; her cousin, Martin, may be Kate's prime suspect; and the local trooper, Jim Chopin, is more interested in Kate than in her investigation. In the end, the sanctuary she sought after five and a half years in the urban jungles may prove more lethal than anything she left behind in the city streets of Anchorage.",208,"Mass Market Paperback","1992-06-01",3.75,16044,1491,1946,14500,0,"https://www.goodreads.com/book/show/271295.A_Cold_Day_for_Murder","Mystery/Thriller",1992
1255,"9780446364805","The General's Daughter","","","Nelson DeMille","Grand Central","English","Captain Ann Campbell is a West Point graduate, the daughter of legendary General ""Fighting Joe"" Campbell. She is the pride of Fort Hadley until, one morning, her body is found, naked and bound, on the firing range.
Paul Brenner is a member of the Army's elite undercover investigative unit and the man in charge of this politically explosive case. Teamed with rape specialist Cynthia Sunhill, with whom he once had a tempestuous, doomed affair, Brenner is about to learn just how many people were sexually, emotionally, and dangerously involved with the Army's ""golden girl."" And how the neatly pressed uniforms and honor codes of the military hide a corruption as rank as Ann Campbell's shocking secret life.",464,"Mass Market Paperback","1992-11-16",4.1,63965,873,1258,13100,7.99,"https://www.goodreads.com/book/show/98427.The_General_s_Daughter","Other",1992
1270,"9780060538057","Sacred Clowns ","Leaphorn & Chee","11","Tony Hillerman","Harper Perennial","English","During a kachina ceremony at the Tano Pueblo, the antics of a dancing 
 fill the air with tension. Moments later, the clown is found bludgeoned to death, in the same manner a reservation schoolteacher was killed only days before.
Officer Jim Chee and Lieutenant Joe Leaphorn believe that answers lie in the sacred clown's final cryptic message to the Tano people. But to decipher it, the two Navajo policemen may have to delve into closely guarded tribal secrets—on a sinister trail of blood that links a runaway, a holy artifact, corrupt Indian traders, and a pair of dead bodies.",320,"Paperback","1993-10-01",4.05,9325,395,1242,3307,12.99,"https://www.goodreads.com/book/show/253191.Sacred_Clowns","Mystery/Thriller",1993
1274,"9780061091315","Lost Boys","","","Orson Scott Card","Harper","English","For Step Fletcher, his pregnant wife DeAnne, and their three children, the move to tiny Steuben, North Carolina, offers new hope and a new beginning. But from the first, eight-year-old Stevie's life there is an unending parade of misery and disaster.
Cruelly ostracized at his school, Stevie retreats further and further into himself—and into a strange computer game and a group of imaginary friends.
But there is something eerie about his loyal, invisible new playmates: each shares the name of a child who has recently vanished from the sleepy Southern town. And terror grows for Step and DeAnne as the truth slowly unfolds. For their son has found something savagely evil ... and it's coming for Stevie next.",528,"Mass Market Paperback","1992-11-01",3.61,9307,969,243,3240,7.99,"https://www.goodreads.com/book/show/418273.Lost_Boys","Other",1992
1284,"9780446692632","Along Came a Spider ","Alex Cross","1","James Patterson","Grand Central","English","What have we got? A missing little girl named Maggie Rose . . . a family of three brutally murdered in the projects of Washington, D.C. . . . the thrill-killing of a beautiful elementary school teacher . . . a psychopathic serial kidnapper/murderer who is so terrifying that the FBI, the Secret Service, and the police cannot outsmart him - even after he's been captured.
Gary Soneji wants to commit the crime of the century. Alex Cross is the brilliant homicide detective pitted against him. Jezzie Flanagan is the first female supervisor of the Secret Service. They complete one of the most unusual suspense triangles in any thriller you have ever read. 
Alex and Jezzie are about to have a forbidden love affair—at the worst possible time for both of them. Because Gary Soneji is playing at the top of his game. The latest of the unspeakable crimes happens in Alex Cross's precinct and it happens under the nose of Jezzie and her men.
Alex faces the ultimate test: how do you outmaneuver a brilliant psychopath?",449,"Paperback","1993-02-01",4.13,456432,6632,10100,162000,9.99,"https://www.goodreads.com/book/show/13145.Along_Came_a_Spider","Mystery/Thriller",1993
1291,"9780425168950","The Titian Committee ","Jonathan Argyll","2","Iain Pears","Berkley","English","Flavia di Stefano of Rome's Art Theft Squad and art historian Jonathan Argyll have charmed mystery readers around the world. Their latest case is baffling to the extreme, when clues from a Titian researcher's death by mugging point to murder -- and a criminal conspiracy...",230,"Paperback","1991-03-21",3.62,1779,159,22,788,NA,"https://www.goodreads.com/book/show/875108.The_Titian_Committee","Mystery/Thriller",1991
1292,"9780060740689","Death at La Fenice ","Commissario Brunetti","1","Donna Leon","Harper Perennial","English","There is little violent crime in Venice, a serenely beautiful floating city of mystery and magic, history and decay. But the evil that does occasionally rear its head is the jurisdiction of Guido Brunetti, the suave, urbane vice-commissario of police and a genius at detection. Now all of his admirable abilities must come into play in the deadly affair of Maestro Helmut Wellauer, a world-renowned conductor who died painfully from cyanide poisoning during an intermission at La Fenice. 
 But as the investigation unfolds, a chilling picture slowly begins to take shape--a detailed portrait of revenge painted with vivid strokes of hatred and shocking depravity. And the dilemma for Guido Brunetti will not be finding a murder suspect, but rather narrowing the choices down to one. . . .",270,"Paperback","1992-06-19",3.88,36577,3081,3876,19800,7.31,"https://www.goodreads.com/book/show/68099.Death_at_La_Fenice","Mystery/Thriller",1992
1295,"9780449001127","I Am the Clay","","","Chaim Potok","Ballantine","English","As the Chinese and the army of the North sweep south during the Korean War, an old peasant farmer and his wife flee their village across the bleak, bombed-out landscape. They soon come upon a boy in a ditch who is wounded and unconscious. Stirred by possessiveness and caring the woman refuses to leave the boy behind. The man thinks she is crazy to nurse this boy, to risk their lives for some dying stranger. Angry and bewildered, he waits for the boy to die. And when the boy does not die, the old man begins to believe that the boy possesss a magic upon which all their lives depend....",228,"Paperback","1992-01-01",3.61,1708,154,51,1198,6.99,"https://www.goodreads.com/book/show/11504.I_Am_the_Clay","Other",1992
1296,"9780060224974","The King's Equal","","","Katherine Paterson","HarperCollins","English","A dying king makes his son his heir — on one condition: the vain Prince Raphael must marry a woman who is his equal in beauty, intelligence, and wealth. A search throughout the kingdom appears to be fruitless until the lovely Rosamund appears at the palace. She is intelligent and wealthy, as well as beautiful — certainly his equal, Raphael thinks. But what does the mysterious Rosamund think?",64,"Hardcover","1992-01-01",4.11,1024,148,7,792,NA,"https://www.goodreads.com/book/show/48481.The_King_s_Equal","Children/Young Adult",1992
1297,"9780060759964","Little Altars Everywhere","","","Rebecca Wells","Harper Perennial","English","Little Altars Everywhere is a national best-seller, a companion to Rebecca Wells' celebrated novel Divine Secrets of the Ya-Ya Sisterhood. Originally published in 1992, Little Altars introduces Sidda, Vivi, the rest of the spirited Walker clan, and the indomitable Ya-Yas.
Told in alternating voices of Vivi and her husband, Big Shep, along with Sidda, her siblings Little Shep, Lulu, Baylor, and Cheney and Willetta — the black couple who impact the Walkers' lives in ways they never fully comprehend — Little Altars embraces nearly thirty years of life on the plantation in Thorton, Louisiana, where the cloying air of the bayou and a web of family secrets at once shelter, trap and define an utterly original community of souls.
Who can resist such cadences of Sidda Walker and her flamboyant, secretive mother, ViVi? Here the young Sidda — a precocious reader and an eloquent observer of the fault lines that divide her family — leads us on a mischievous adventures at Our Lady of Divine Compassion parochial school and beyond. A Catholic girl of pristine manners, devotion, and provocative ideas, Sidda is the very essence of childhood joy and sorrow.
In a series of luminous reminiscences, we also hear Little Shep's stories of his eccentric grandmother, Lulu's matter-of-fact account of her shoplifting skills, and Baylor's memories of Vivi and her friends, the Ya-Yas.
Beneath the humor and tight-knit bonds of family and friendship lie the undercurrents of alcoholism, abuse, and violence. The overlapping recollections of how the Walkers' charming life uncoils to convey their heart-breaking confusion are oat once unsettling and familiar. Wells creates an unforgettable portrait of the eccentric cast of characters and exposes their poignant and funny attempts to keep reality at arm's length. Through our laughter we feel their inevitable pain, with a glimmer of hope for forgiveness and healing.
An arresting combination of colloquialism, poetry, and grace, Little Altars Everywhere is an insightful, piercing and unflinching evocation of childhood, a loving tribute to the transformative power of faith, and a thoroughly fresh chronicle of a family that is as haunted as it is blessed.",288,"Paperback","1992-01-01",3.58,30127,1088,314,5486,13.99,"https://www.goodreads.com/book/show/6697.Little_Altars_Everywhere","Other",1992
1298,"9780743299633","Lincoln at Gettysburg: The Words That Remade America","","","Garry Wills","Simon & Schuster","English","In a masterly work, Garry Wills shows how Lincoln reached back to the Declaration of Independence to write the greatest speech in the nation’s history.
The power of words has rarely been given a more compelling demonstration than in the Gettysburg Address. Lincoln was asked to memorialize the gruesome battle. Instead he gave the whole nation “a new birth of freedom” in the space of a mere 272 words. His entire life and previous training and his deep political experience went into this, his revolutionary masterpiece.
By examining both the address and Lincoln in their historical moment and cultural frame, Wills breathes new life into words we thought we knew, and reveals much about a president so mythologized but often misunderstood. Wills shows how Lincoln came to change the world and to effect an intellectual revolution, how his words had to and did complete the work of the guns, and how Lincoln wove a spell that has not yet been broken.",320,"Paperback","1992-01-01",4.16,8283,284,194,7639,14.99,"https://www.goodreads.com/book/show/20809.Lincoln_at_Gettysburg","Nonfiction",1992
1304,"9780446675505","Parable of the Sower ","Earthseed","1","Octavia E. Butler","Grand Central","English","In 2024, with the world descending into madness and anarchy, one woman begins a fateful journey toward a better future.
Lauren Olamina and her family live in one of the only safe neighborhoods remaining on the outskirts of Los Angeles. Behind the walls of their defended enclave, Lauren’s father, a preacher, and a handful of other citizens try to salvage what remains of a culture that has been destroyed by drugs, disease, war, and chronic water shortages. While her father tries to lead people on the righteous path, Lauren struggles with hyperempathy, a condition that makes her extraordinarily sensitive to the pain of others.
When fire destroys their compound, Lauren’s family is killed and she is forced out into a world that is fraught with danger. With a handful of other refugees, Lauren must make her way north to safety, along the way conceiving a revolutionary idea that may mean salvation for all mankind.",345,"Paperback","1993-10-01",4.21,162180,17289,16700,245000,11.99,"https://www.goodreads.com/book/show/52397.Parable_of_the_Sower","Other",1993
1310,"9780060786526","A Suitable Boy ","A Bridge of Leaves","1","Vikram Seth","Harper Perennial Modern Classics","English","Vikram Seth's novel is, at its core, a love story: Lata and her mother, Mrs. Rupa Mehra, are both trying to find—through love or through exacting maternal appraisal—a suitable boy for Lata to marry. Set in the early 1950s, in an India newly independent and struggling through a time of crisis, 
 takes us into the richly imagined world of four large extended families and spins a compulsively readable tale of their lives and loves. A sweeping panoramic portrait of a complex, multiethnic society in flux, 
A Suitable Boy
 remains the story of ordinary people caught up in a web of love and ambition, humor and sadness, prejudice and reconciliation, the most delicate social etiquette and the most appalling violence.",1474,"Paperback","1993-05-01",4.12,47903,2986,4711,84900,0,"https://www.goodreads.com/book/show/50365.A_Suitable_Boy","Other",1993
1338,"9780425135778","A Fatal Thaw ","Kate Shugak","2","Dana Stabenow","Berkley","English","On her homestead in the middle of twenty million acres of national Park, Aleut P.I. Kate Shugak is caught up in spring cleaning, unaware that just miles away a man's sanity is breaking. When the sound of gunfire finally dies away, nine of his neighbors lie dead in the snow. But did he kill all nine, or only eight? The ninth victim was killed with a different weapon. It's up to Kate and her husky-wolf sidekick Mutt to untangle the life of the dead blonde with the tarnished past and find her killer. It won't be easy; every second Park rat had a motive. Was it one of her many spurned lovers? Was a wife looking for revenge? Or did a deal with an ivory smuggler go bad? Even Trooper Jim Chopin, the Park's resident state trooper, had a history with the victim. Kate will need every ounce of determination to find the truth before Alaska metes out its own justice....",208,"Mass Market Paperback","1993-01-01",4.06,6630,400,655,1472,0,"https://www.goodreads.com/book/show/672615.A_Fatal_Thaw","Mystery/Thriller",1993
1350,"9780679824121","The Knight at Dawn ","Magic Tree House","2","Mary Pope Osborne","Random House","English","That's what Jack and Annie find when the Magic Tree House whisks them back to the Middle Ages for another wild adventure. In the Great Gall of the castle, a feast is under way. But Jack and Annie aren't exactly welcome guests!",66,"Paperback","1993-02-16",3.91,24801,1243,883,5491,4.99,"https://www.goodreads.com/book/show/948526.The_Knight_at_Dawn","Fantasy",1993
