"X","isbn","title","series_title","series_release_number","authors","publisher","language","description","num_pages","format","publication_date","rating_score","num_ratings","num_reviews","current_readers","want_to_read","price","url","main_genre","year"
47,"9780425201374","The Lunatic Cafe ","Anita Blake, Vampire Hunter","4","Laurell K. Hamilton","Berkley","English","Anita has fallen for the leader of a local pack of werewolves. She's survived a lot, but this love thing may kill her yet.",352,"Hardcover","1996-01-01",4.13,78631,1559,792,10800,8.99,"https://www.goodreads.com/book/show/30273.The_Lunatic_Cafe","Fantasy",1996
61,"9780571225408","When We Were Orphans","","","Kazuo Ishiguro","Faber & Faber","English","The maze of human memory--the ways in which we accommodate and alter it, deceive and deliver ourselves with it--is territory that Kazuo Ishiguro has made his own. In his previous novels, he has explored this inner world and its manifestations in the lives of his characters with rare inventiveness and subtlety, shrewd humor and insight. In When We Were Orphans, his first novel in five years, he returns to this terrain in a brilliantly realized story that illuminates the power of one's past to determine the present.
Christopher Banks, an English boy born in early-twentieth-century Shanghai, is orphaned at age nine when his mother and father both vanish under suspicious circumstances. Sent to live in England, he grows up to become a renowned detective and, more than twenty years later, returns to Shanghai, where the Sino-Japanese War is raging, to solve the mystery of the disappearances.
The story is straightforward. Its telling is remarkable. Christopher's voice is controlled, detailed, and detached, its precision unsurprising in someone who has devoted his life to the examination of details and the rigors of objective thought. But within the layers of his narrative is slowly revealed what he can't, or won't, see: that his memory, despite what he wants to believe, is not unaffected by his childhood tragedies; that his powers of perception, the heralded clarity of his vision, can be blinding as well as enlightening; and that the simplest desires--a child's for his parents, a man's for understanding--may give rise to the most complicated truths.
A masterful combination of narrative control and soaring imagination, When We Were Orphans is Kazuo Ishiguro at his best.",320,"Paperback","2000-01-16",3.53,40435,4010,2042,38900,12.99,"https://www.goodreads.com/book/show/28923.When_We_Were_Orphans","Other",2000
66,"9780425183755","Blood Lure ","Anna Pigeon","9","Nevada Barr","Berkley","English","In this mystery in Nevada Barr’s  New York Times bestselling series, District Park Ranger Anna Pigeon is betrayed by nature itself, as a most unnatural evil stalks its prey in the pristine West…
Straddling the border between Montana and Canada lies the Waterton-Glacier International Peace Park—Anna’s home away from home when she is sent on a cross-training assignment to study grizzly bears. Along with bear researcher Joan Rand and a volatile, unpredictable teenage boy, Anna hikes the back country, seeking signs of bear. But the tables are turned on their second night out, when one of the beasts comes looking for them. Daybreak finds the boy missing, a camper mutilated, and Anna caught in a grip of fear, painfully aware that her lifelong bond with nature has inexplicably snapped...",333,"Mass Market Paperback","2001-01-01",3.91,7922,489,283,1490,8.99,"https://www.goodreads.com/book/show/86446.Blood_Lure","Mystery/Thriller",2001
76,"9780307265432","The Road","","","Cormac McCarthy","Alfred A. Knopf","English","A searing, postapocalyptic novel destined to become Cormac McCarthy’s masterpiece.
A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind. It is cold enough to crack stones, and when the snow falls it is gray. The sky is dark. Their destination is the coast, although they don’t know what, if anything, awaits them there. They have nothing; just a pistol to defend themselves against the lawless bands that stalk the road, the clothes they are wearing, a cart of scavenged food—and each other.
 is the profoundly moving story of a journey. It boldly imagines a future in which no hope remains, but in which the father and his son, “each the other’s world entire,” are sustained by love. Awesome in the totality of its vision, it is an unflinching meditation on the worst and the best that we are capable of: ultimate destructiveness, desperate tenacity, and the tenderness that keeps two people alive in the face of total devastation.",241,"Hardcover","2006-09-26",3.99,892643,58347,17000,516000,12.99,"https://www.goodreads.com/book/show/6288.The_Road","Other",2006
77,"9780307269980","The Girl Who Played with Fire ","Millennium","2","Stieg Larsson","Alfred A. Knopf","English","The Expose
Millenium publisher Mikael Blomkvist has made his reputation exposing corrupt establishment figures. So when a young journalist approaches him with an investigation into sex trafficking, Blomkvist cannot resist waging war on the powerful figures who control this lucrative industry.
The Murder
When a young couple is found dead in their Stockholm apartment, it's a straightforward job for Inspector Bublanski and his team. The killer left the weapon at the scene - and the fingerprints on the gun point in only one direction.
The Girl Who Played with Fire
Ex-security analyst Lisbeth Salander is wanted for murder. Her history of unpredictable and vengeful behaviour makes her an official danger to society - but no-one can find her. The only way Salander can be reached is by computer. But she can break into almost any network she chooses...",503,"Hardcover","2006-06-01",4.25,917136,37042,13200,273000,9.99,"https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire","Other",2006
92,"9780061733635","Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime","","","John Heilemann","Harper","English","“It’s one of the best books on politics of any kind I’ve read. For entertainment value, I put it up there with 
Catch 22
.” —
The Financial Times
 
“It transports you to a parallel universe in which everything in the 
National Enquirer
 is true….More interesting is what we learn about the candidates themselves: their frailties, egos and almost super-human stamina.” —
The Financial Times
 
“I can’t put down this book!” —Stephen Colbert
 
Game Change 
is the 
New York Times 
bestselling story of the 2008 presidential election, by John Heilemann and Mark Halperin, two of the best political reporters in the country. In the spirit of Richard Ben Cramer’s 
 and Theodore H. White’s 
The Making of the President 1960
, this classic campaign trail book tells the defining story of a new era in American politics, going deeper behind the scenes of the Obama/Biden and McCain/Palin campaigns than any other account of the historic 2008 election.",448,"Hardcover","2010-01-11",4.13,22305,2672,729,9879,13.99,"https://www.goodreads.com/book/show/6694937-game-change","Nonfiction",2010
102,"9781423140573","The Serpent's Shadow ","The Kane Chronicles","3","Rick Riordan","Hyperion","English","He's b-a-a-ack! Despite their best efforts, Carter and Sadie Kane can't seem to keep Apophis, the chaos snake, down. Now Apophis is threatening to plunge the world into eternal darkness, and the Kanes are faced with the impossible task of having to destroy him once and for all. Unfortunately, the magicians of the House of Life are on the brink of civil war, the gods are divided, and the young initiates of Brooklyn House stand almost alone against the forces of chaos. The Kanes' only hope is an ancient spell that might turn the serpent's own shadow into a weapon, but the magic has been lost for a millennia. To find the answer they need, the Kanes must rely on the murderous ghost of a powerful magician who might be able to lead them to the serpent's shadow . . . or might lead them to their deaths in the depths of the underworld. Nothing less than the mortal world is at stake when the Kane family fulfills its destiny in this thrilling conclusion to the Kane Chronicles.",406,"Hardcover","2012-05-01",4.28,160909,6691,2497,84700,7.99,"https://www.goodreads.com/book/show/12893742-the-serpent-s-shadow","Fantasy",2012
120,"9781451686630","The Passenger","","","Lisa Lutz","Simon & Schuster","English","Forty-eight hours after leaving her husband’s body at the base of the stairs, Tanya Dubois cashes in her credit cards, dyes her hair brown, demands a new name from a shadowy voice over the phone, and flees town. It’s not the first time.
She meets Blue, a female bartender who recognizes the hunted look in a fugitive’s eyes and offers her a place to stay. With dwindling choices, Tanya-now-Amelia accepts. An uneasy―and dangerous―alliance is born.
It’s almost impossible to live off the grid today, but Amelia-now-Debra and Blue have the courage, the ingenuity, and the desperation, to try. Hopscotching from city to city, Debra especially is chased by a very dark secret…can she outrun her past?",304,"Hardcover","2016-03-01",3.72,42321,4829,2178,46000,14.99,"https://www.goodreads.com/book/show/26154406-the-passenger","Mystery/Thriller",2016
121,"9781101902769","A Mother's Reckoning: Living in the Aftermath of Tragedy","","","Sue Klebold","Crown","English","On April 20, 1999, Eric Harris and Dylan Klebold walked into Columbine High School in Littleton, Colorado. Over the course of minutes, they would kill twelve students and a teacher and wound twenty-four others before taking their own lives.
  
 For the last sixteen years, Sue Klebold, Dylan’s mother, has lived with the indescribable grief and shame of that day. How could her child, the promising young man she had loved and raised, be responsible for such horror? And how, as his mother, had she not known something was wrong? Were there subtle signs she had missed? What, if anything, could she have done differently?
  
 These are questions that Klebold has grappled with every day since the Columbine tragedy. In 
, she chronicles with unflinching honesty her journey as a mother trying to come to terms with the incomprehensible. In the hope that the insights and understanding she has gained may help other families recognize when a child is in distress, she tells her story in full, drawing upon her personal journals, the videos and writings that Dylan left behind, and on countless interviews with mental health experts.
  
 Filled with hard-won wisdom and compassion, 
A Mother’s Reckoning 
is a powerful and haunting book that sheds light on one of the most pressing issues of our time. And with fresh wounds from the recent Newtown and Charleston shootings, never has the need for understanding been more urgent.
  
All author profits from the book will be donated to research and to charitable organizations focusing on mental health issues.",336,"ebook","2016-02-15",4.13,39941,5418,1977,48400,11.99,"https://www.goodreads.com/book/show/25937671-a-mother-s-reckoning","Nonfiction",2016
127,"9781101906668","The Roanoke Girls","","","Amy Engel","Crown","English","Lane Roanoke is fifteen when she comes to live with her grandparents and fireball cousin at the Roanoke family's rural estate following the suicide of her mother. Over one long, hot summer, Lane experiences the benefits of being one of the rich and beautiful Roanoke girls.
But what she doesn't know is being a Roanoke girl carries a terrible legacy: either the girls run, or they die. For there is darkness at the heart of Roanoke, and when Lane discovers its insidious pull, she must make her choice...",279,"Hardcover","2017-03-07",3.72,31416,4940,1025,44400,6.99,"https://www.goodreads.com/book/show/30689335-the-roanoke-girls","Mystery/Thriller",2017
